model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,extra_number_count,0.001884,0.68,-0.116978,600
anthropic__claude-sonnet-4.6,extra_number_ratio,-0.456536,0.68,-0.116978,600
anthropic__claude-sonnet-4.6,extra_entity_count,-0.119237,0.68,-0.116978,600
anthropic__claude-sonnet-4.6,financial_register_score,-0.041441,0.68,-0.116978,600
anthropic__claude-sonnet-4.6,statistical_register_score,0.059952,0.68,-0.116978,600
anthropic__claude-sonnet-4.6,register_score,0.038112,0.68,-0.116978,600
anthropic__claude-sonnet-4.6,translationese_score,-0.757994,0.68,-0.116978,600
deepseek__deepseek-v4-flash,extra_number_count,-0.156864,0.705,0.322451,600
deepseek__deepseek-v4-flash,extra_number_ratio,-0.273269,0.705,0.322451,600
deepseek__deepseek-v4-flash,extra_entity_count,-0.054915,0.705,0.322451,600
deepseek__deepseek-v4-flash,financial_register_score,-0.002555,0.705,0.322451,600
deepseek__deepseek-v4-flash,statistical_register_score,-0.003408,0.705,0.322451,600
deepseek__deepseek-v4-flash,register_score,-0.004082,0.705,0.322451,600
deepseek__deepseek-v4-flash,translationese_score,-0.863079,0.705,0.322451,600
google__gemini-3-flash-preview,extra_number_count,0.02324,0.678333,-0.049951,600
google__gemini-3-flash-preview,extra_number_ratio,-0.401446,0.678333,-0.049951,600
google__gemini-3-flash-preview,extra_entity_count,-0.012342,0.678333,-0.049951,600
google__gemini-3-flash-preview,financial_register_score,-0.085473,0.678333,-0.049951,600
google__gemini-3-flash-preview,statistical_register_score,0.051659,0.678333,-0.049951,600
google__gemini-3-flash-preview,register_score,0.013425,0.678333,-0.049951,600
google__gemini-3-flash-preview,translationese_score,-0.813191,0.678333,-0.049951,600
moonshotai__kimi-k2.5,extra_number_count,-0.012794,0.691667,0.405199,600
moonshotai__kimi-k2.5,extra_number_ratio,-0.417157,0.691667,0.405199,600
moonshotai__kimi-k2.5,extra_entity_count,-0.114776,0.691667,0.405199,600
moonshotai__kimi-k2.5,financial_register_score,0.014144,0.691667,0.405199,600
moonshotai__kimi-k2.5,statistical_register_score,0.021815,0.691667,0.405199,600
moonshotai__kimi-k2.5,register_score,0.025269,0.691667,0.405199,600
moonshotai__kimi-k2.5,translationese_score,-0.775126,0.691667,0.405199,600
openai__gpt-5.2,extra_number_count,0.041799,0.695,0.484358,600
openai__gpt-5.2,extra_number_ratio,-0.378948,0.695,0.484358,600
openai__gpt-5.2,extra_entity_count,-0.057744,0.695,0.484358,600
openai__gpt-5.2,financial_register_score,-0.009975,0.695,0.484358,600
openai__gpt-5.2,statistical_register_score,-0.018241,0.695,0.484358,600
openai__gpt-5.2,register_score,-0.020407,0.695,0.484358,600
openai__gpt-5.2,translationese_score,-0.726297,0.695,0.484358,600
