model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,forward_entailment,0.120379,0.513333,0.026739,600
anthropic__claude-sonnet-4.6,forward_neutral,-0.104202,0.508333,0.026725,600
anthropic__claude-sonnet-4.6,forward_contradiction,-0.62191,0.52,0.026566,600
anthropic__claude-sonnet-4.6,backward_entailment,0.493858,0.528333,0.027112,600
anthropic__claude-sonnet-4.6,backward_neutral,-0.648272,0.53,0.029146,600
anthropic__claude-sonnet-4.6,backward_contradiction,-0.072249,0.508333,0.026596,600
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.225516,0.53,0.026858,600
anthropic__claude-sonnet-4.6,nli_boundary_risk,-0.120379,0.513333,0.026739,600
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.493856,0.528333,0.027112,600
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.175549,0.513333,0.026047,600
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.24804,0.526667,0.026716,600
deepseek__deepseek-v4-flash,forward_entailment,0.396886,0.576667,0.177585,600
deepseek__deepseek-v4-flash,forward_neutral,-0.378688,0.576667,0.177375,600
deepseek__deepseek-v4-flash,forward_contradiction,-0.609703,0.556667,0.175064,600
deepseek__deepseek-v4-flash,backward_entailment,0.576982,0.558333,0.177215,600
deepseek__deepseek-v4-flash,backward_neutral,-0.699819,0.561667,0.179114,600
deepseek__deepseek-v4-flash,backward_contradiction,-0.110812,0.545,0.173826,600
deepseek__deepseek-v4-flash,bidirectional_entailment,0.494258,0.583333,0.179313,600
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.396886,0.576667,0.177585,600
deepseek__deepseek-v4-flash,nli_omission_risk,-0.576978,0.558333,0.177215,600
deepseek__deepseek-v4-flash,nli_contradiction_risk,-0.237954,0.546667,0.173373,600
deepseek__deepseek-v4-flash,semantic_fidelity_score,0.531011,0.59,0.178678,600
google__gemini-3-flash-preview,forward_entailment,-0.082875,0.601667,-0.413093,600
google__gemini-3-flash-preview,forward_neutral,0.101418,0.606667,-0.413418,600
google__gemini-3-flash-preview,forward_contradiction,-0.523178,0.611667,-0.416066,600
google__gemini-3-flash-preview,backward_entailment,0.312994,0.606667,-0.417506,600
google__gemini-3-flash-preview,backward_neutral,-0.492522,0.608333,-0.417535,600
google__gemini-3-flash-preview,backward_contradiction,0.03905,0.603333,-0.412549,600
google__gemini-3-flash-preview,bidirectional_entailment,0.025859,0.601667,-0.412482,600
google__gemini-3-flash-preview,nli_boundary_risk,0.082875,0.601667,-0.413093,600
google__gemini-3-flash-preview,nli_omission_risk,-0.312992,0.606667,-0.417506,600
google__gemini-3-flash-preview,nli_contradiction_risk,-0.058271,0.601667,-0.41277,600
google__gemini-3-flash-preview,semantic_fidelity_score,0.032619,0.601667,-0.412523,600
moonshotai__kimi-k2.5,forward_entailment,-0.107856,0.578333,0.31683,600
moonshotai__kimi-k2.5,forward_neutral,0.12226,0.578333,0.317073,600
moonshotai__kimi-k2.5,forward_contradiction,-0.186206,0.576667,0.316993,600
moonshotai__kimi-k2.5,backward_entailment,0.329408,0.586667,0.319775,600
moonshotai__kimi-k2.5,backward_neutral,-0.652761,0.591667,0.323176,600
moonshotai__kimi-k2.5,backward_contradiction,0.059226,0.576667,0.31624,600
moonshotai__kimi-k2.5,bidirectional_entailment,-0.004525,0.578333,0.315937,600
moonshotai__kimi-k2.5,nli_boundary_risk,0.107856,0.578333,0.31683,600
moonshotai__kimi-k2.5,nli_omission_risk,-0.329407,0.586667,0.319775,600
moonshotai__kimi-k2.5,nli_contradiction_risk,-0.028918,0.576667,0.315996,600
moonshotai__kimi-k2.5,semantic_fidelity_score,0.007194,0.578333,0.315939,600
openai__gpt-5.2,forward_entailment,0.126265,0.531667,-0.040183,600
openai__gpt-5.2,forward_neutral,-0.11176,0.528333,-0.040141,600
openai__gpt-5.2,forward_contradiction,-0.459068,0.53,-0.040526,600
openai__gpt-5.2,backward_entailment,0.549025,0.53,-0.040732,600
openai__gpt-5.2,backward_neutral,-0.662474,0.528333,-0.038519,600
openai__gpt-5.2,backward_contradiction,-0.10306,0.511667,-0.04037,600
openai__gpt-5.2,bidirectional_entailment,0.232671,0.536667,-0.040605,600
openai__gpt-5.2,nli_boundary_risk,-0.126265,0.531667,-0.040183,600
openai__gpt-5.2,nli_omission_risk,-0.549021,0.53,-0.040732,600
openai__gpt-5.2,nli_contradiction_risk,-0.212904,0.526667,-0.041494,600
openai__gpt-5.2,semantic_fidelity_score,0.263693,0.541667,-0.040973,600
