model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,target_lm_log_perplexity,0.275027,0.553333,-0.122201,600
anthropic__claude-sonnet-4.6,target_lm_naturalness_score,-0.275027,0.553333,-0.122201,600
deepseek__deepseek-v4-flash,target_lm_log_perplexity,0.399967,0.6,0.264244,600
deepseek__deepseek-v4-flash,target_lm_naturalness_score,-0.399967,0.6,0.264244,600
google__gemini-3-flash-preview,target_lm_log_perplexity,0.396369,0.563333,-0.061989,600
google__gemini-3-flash-preview,target_lm_naturalness_score,-0.396369,0.563333,-0.061989,600
moonshotai__kimi-k2.5,target_lm_log_perplexity,0.329005,0.605,0.338103,600
moonshotai__kimi-k2.5,target_lm_naturalness_score,-0.329005,0.605,0.338103,600
openai__gpt-5.2,target_lm_log_perplexity,0.201767,0.598333,0.416502,600
openai__gpt-5.2,target_lm_naturalness_score,-0.201767,0.598333,0.416502,600
