id,consensus_order,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C,borda_A,borda_B,borda_C,top1_votes
001,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,13,5,3,2,10,"{""C"": 5}"
002,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,9,8,2,6,7,"{""B"": 2, ""C"": 3}"
003,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
004,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,8,13,6,7,2,"{""A"": 1, ""B"": 3, ""C"": 1}"
005,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
006,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,10,9,4,5,6,"{""B"": 2, ""C"": 3}"
007,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
008,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
009,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
010,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,15,8,8,0,7,"{""A"": 3, ""C"": 2}"
011,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",8,10,12,7,5,3,"{""A"": 2, ""B"": 2, ""C"": 1}"
012,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,9,8,2,6,7,"{""B"": 2, ""C"": 3}"
013,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,7,11,3,8,4,"{""B"": 4, ""C"": 1}"
014,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,7,12,4,8,3,"{""A"": 2, ""B"": 3}"
015,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
016,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
017,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,9,10,4,6,5,"{""A"": 2, ""B"": 2, ""C"": 1}"
018,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
019,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,6,13,4,9,2,"{""A"": 1, ""B"": 4}"
020,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
021,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,12,12,9,3,3,"{""A"": 4, ""C"": 1}"
022,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
023,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
024,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,10,13,8,5,2,"{""A"": 3, ""B"": 1, ""C"": 1}"
025,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,10,13,8,5,2,"{""A"": 3, ""B"": 1, ""C"": 1}"
026,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",9,9,12,6,6,3,"{""A"": 1, ""B"": 3, ""C"": 1}"
027,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,8,15,8,7,0,"{""A"": 3, ""B"": 2}"
