model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,clause_count,0.055912,0.608333,0.042056,600
anthropic__claude-sonnet-4.6,dependency_depth,0.020845,0.608333,0.042056,600
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.196743,0.608333,0.042056,600
anthropic__claude-sonnet-4.6,max_dependency_distance,-0.027362,0.608333,0.042056,600
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.502615,0.608333,0.042056,600
anthropic__claude-sonnet-4.6,nominalization_ratio,-0.139855,0.608333,0.042056,600
anthropic__claude-sonnet-4.6,modifier_density,0.258018,0.608333,0.042056,600
anthropic__claude-sonnet-4.6,coordination_count,-0.175868,0.608333,0.042056,600
anthropic__claude-sonnet-4.6,passive_count,0.180118,0.608333,0.042056,600
anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.675894,0.608333,0.042056,600
deepseek__deepseek-v4-flash,clause_count,0.184108,0.658333,0.26781,600
deepseek__deepseek-v4-flash,dependency_depth,0.093135,0.658333,0.26781,600
deepseek__deepseek-v4-flash,mean_dependency_distance,0.042038,0.658333,0.26781,600
deepseek__deepseek-v4-flash,max_dependency_distance,-0.109259,0.658333,0.26781,600
deepseek__deepseek-v4-flash,normalized_dependency_distance,-0.121477,0.658333,0.26781,600
deepseek__deepseek-v4-flash,nominalization_ratio,-0.282971,0.658333,0.26781,600
deepseek__deepseek-v4-flash,modifier_density,0.115233,0.658333,0.26781,600
deepseek__deepseek-v4-flash,coordination_count,-0.169811,0.658333,0.26781,600
deepseek__deepseek-v4-flash,passive_count,0.002327,0.658333,0.26781,600
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.703815,0.658333,0.26781,600
google__gemini-3-flash-preview,clause_count,0.372512,0.673333,-0.353675,600
google__gemini-3-flash-preview,dependency_depth,0.15669,0.673333,-0.353675,600
google__gemini-3-flash-preview,mean_dependency_distance,0.148878,0.673333,-0.353675,600
google__gemini-3-flash-preview,max_dependency_distance,0.079905,0.673333,-0.353675,600
google__gemini-3-flash-preview,normalized_dependency_distance,-0.206828,0.673333,-0.353675,600
google__gemini-3-flash-preview,nominalization_ratio,-0.173457,0.673333,-0.353675,600
google__gemini-3-flash-preview,modifier_density,0.130357,0.673333,-0.353675,600
google__gemini-3-flash-preview,coordination_count,-0.254166,0.673333,-0.353675,600
google__gemini-3-flash-preview,passive_count,0.035394,0.673333,-0.353675,600
google__gemini-3-flash-preview,sentence_compression_ratio,-0.840156,0.673333,-0.353675,600
moonshotai__kimi-k2.5,clause_count,0.154261,0.66,0.48859,600
moonshotai__kimi-k2.5,dependency_depth,0.106282,0.66,0.48859,600
moonshotai__kimi-k2.5,mean_dependency_distance,0.169386,0.66,0.48859,600
moonshotai__kimi-k2.5,max_dependency_distance,-0.003611,0.66,0.48859,600
moonshotai__kimi-k2.5,normalized_dependency_distance,-0.225291,0.66,0.48859,600
moonshotai__kimi-k2.5,nominalization_ratio,-0.172515,0.66,0.48859,600
moonshotai__kimi-k2.5,modifier_density,0.257294,0.66,0.48859,600
moonshotai__kimi-k2.5,coordination_count,-0.23653,0.66,0.48859,600
moonshotai__kimi-k2.5,passive_count,0.056024,0.66,0.48859,600
moonshotai__kimi-k2.5,sentence_compression_ratio,-0.861375,0.66,0.48859,600
openai__gpt-5.2,clause_count,0.193814,0.675,0.081716,600
openai__gpt-5.2,dependency_depth,0.037126,0.675,0.081716,600
openai__gpt-5.2,mean_dependency_distance,-0.03374,0.675,0.081716,600
openai__gpt-5.2,max_dependency_distance,-0.181912,0.675,0.081716,600
openai__gpt-5.2,normalized_dependency_distance,-0.154323,0.675,0.081716,600
openai__gpt-5.2,nominalization_ratio,-0.162055,0.675,0.081716,600
openai__gpt-5.2,modifier_density,0.114063,0.675,0.081716,600
openai__gpt-5.2,coordination_count,-0.224791,0.675,0.081716,600
openai__gpt-5.2,passive_count,0.085881,0.675,0.081716,600
openai__gpt-5.2,sentence_compression_ratio,-0.716538,0.675,0.081716,600
