model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,extra_number_count,-0.380027,0.535,0.033255,600
anthropic__claude-sonnet-4.6,extra_number_ratio,0.141369,0.535,0.033255,600
anthropic__claude-sonnet-4.6,extra_entity_count,0.157453,0.535,0.033255,600
anthropic__claude-sonnet-4.6,financial_register_score,0.023174,0.535,0.033255,600
anthropic__claude-sonnet-4.6,statistical_register_score,-0.023393,0.535,0.033255,600
anthropic__claude-sonnet-4.6,register_score,-0.003448,0.535,0.033255,600
anthropic__claude-sonnet-4.6,translationese_score,0.060423,0.535,0.033255,600
deepseek__deepseek-v4-flash,extra_number_count,-0.501205,0.578333,0.197188,600
deepseek__deepseek-v4-flash,extra_number_ratio,-0.473009,0.578333,0.197188,600
deepseek__deepseek-v4-flash,extra_entity_count,0.066291,0.578333,0.197188,600
deepseek__deepseek-v4-flash,financial_register_score,0.092476,0.578333,0.197188,600
deepseek__deepseek-v4-flash,statistical_register_score,0.03683,0.578333,0.197188,600
deepseek__deepseek-v4-flash,register_score,0.093978,0.578333,0.197188,600
deepseek__deepseek-v4-flash,translationese_score,0.052553,0.578333,0.197188,600
google__gemini-3-flash-preview,extra_number_count,-0.490511,0.61,-0.412556,600
google__gemini-3-flash-preview,extra_number_ratio,0.223709,0.61,-0.412556,600
google__gemini-3-flash-preview,extra_entity_count,0.198852,0.61,-0.412556,600
google__gemini-3-flash-preview,financial_register_score,-0.015101,0.61,-0.412556,600
google__gemini-3-flash-preview,statistical_register_score,-0.026787,0.61,-0.412556,600
google__gemini-3-flash-preview,register_score,-0.032537,0.61,-0.412556,600
google__gemini-3-flash-preview,translationese_score,-0.06011,0.61,-0.412556,600
moonshotai__kimi-k2.5,extra_number_count,-0.293501,0.593333,0.325468,600
moonshotai__kimi-k2.5,extra_number_ratio,0.199506,0.593333,0.325468,600
moonshotai__kimi-k2.5,extra_entity_count,0.220268,0.593333,0.325468,600
moonshotai__kimi-k2.5,financial_register_score,-0.05458,0.593333,0.325468,600
moonshotai__kimi-k2.5,statistical_register_score,0.032296,0.593333,0.325468,600
moonshotai__kimi-k2.5,register_score,-0.010756,0.593333,0.325468,600
moonshotai__kimi-k2.5,translationese_score,-0.071004,0.593333,0.325468,600
openai__gpt-5.2,extra_number_count,-0.503853,0.53,-0.029951,600
openai__gpt-5.2,extra_number_ratio,-0.118691,0.53,-0.029951,600
openai__gpt-5.2,extra_entity_count,0.034155,0.53,-0.029951,600
openai__gpt-5.2,financial_register_score,-0.001475,0.53,-0.029951,600
openai__gpt-5.2,statistical_register_score,0.048262,0.53,-0.029951,600
openai__gpt-5.2,register_score,0.038922,0.53,-0.029951,600
openai__gpt-5.2,translationese_score,-0.059853,0.53,-0.029951,600
