model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,forward_entailment,0.057946,0.528333,-0.120195,600
anthropic__claude-sonnet-4.6,forward_neutral,0.053718,0.523333,-0.120317,600
anthropic__claude-sonnet-4.6,forward_contradiction,-0.136857,0.538333,-0.121515,600
anthropic__claude-sonnet-4.6,backward_entailment,0.36985,0.538333,-0.124211,600
anthropic__claude-sonnet-4.6,backward_neutral,-0.347038,0.536667,-0.124117,600
anthropic__claude-sonnet-4.6,backward_contradiction,-0.146271,0.528333,-0.118372,600
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.342403,0.538333,-0.123351,600
anthropic__claude-sonnet-4.6,nli_boundary_risk,-0.057946,0.528333,-0.120195,600
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.36985,0.538333,-0.124211,600
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.133301,0.533333,-0.120219,600
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.327969,0.543333,-0.12116,600
deepseek__deepseek-v4-flash,forward_entailment,0.150398,0.571667,0.256506,600
deepseek__deepseek-v4-flash,forward_neutral,-0.19495,0.57,0.259216,600
deepseek__deepseek-v4-flash,forward_contradiction,0.003139,0.563333,0.254702,600
deepseek__deepseek-v4-flash,backward_entailment,0.35242,0.586667,0.259788,600
deepseek__deepseek-v4-flash,backward_neutral,-0.351813,0.588333,0.2593,600
deepseek__deepseek-v4-flash,backward_contradiction,-0.050044,0.563333,0.254969,600
deepseek__deepseek-v4-flash,bidirectional_entailment,0.357648,0.59,0.260435,600
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.150398,0.571667,0.256506,600
deepseek__deepseek-v4-flash,nli_omission_risk,-0.352419,0.586667,0.259788,600
deepseek__deepseek-v4-flash,nli_contradiction_risk,-0.01822,0.563333,0.254723,600
deepseek__deepseek-v4-flash,semantic_fidelity_score,0.27886,0.586667,0.259299,600
google__gemini-3-flash-preview,forward_entailment,0.050351,0.511667,-0.060024,600
google__gemini-3-flash-preview,forward_neutral,0.029554,0.505,-0.060046,600
google__gemini-3-flash-preview,forward_contradiction,-0.092463,0.516667,-0.060465,600
google__gemini-3-flash-preview,backward_entailment,0.326003,0.516667,-0.062018,600
google__gemini-3-flash-preview,backward_neutral,-0.300735,0.521667,-0.061964,600
google__gemini-3-flash-preview,backward_contradiction,-0.167652,0.513333,-0.057334,600
google__gemini-3-flash-preview,bidirectional_entailment,0.301096,0.52,-0.061468,600
google__gemini-3-flash-preview,nli_boundary_risk,-0.050352,0.511667,-0.060024,600
google__gemini-3-flash-preview,nli_omission_risk,-0.326002,0.516667,-0.062018,600
google__gemini-3-flash-preview,nli_contradiction_risk,-0.093675,0.508333,-0.059998,600
google__gemini-3-flash-preview,semantic_fidelity_score,0.274217,0.52,-0.060035,600
moonshotai__kimi-k2.5,forward_entailment,0.239145,0.593333,0.33457,600
moonshotai__kimi-k2.5,forward_neutral,0.01748,0.581667,0.329641,600
moonshotai__kimi-k2.5,forward_contradiction,-0.411281,0.588333,0.324414,600
moonshotai__kimi-k2.5,backward_entailment,0.244441,0.605,0.333544,600
moonshotai__kimi-k2.5,backward_neutral,-0.228899,0.603333,0.332999,600
moonshotai__kimi-k2.5,backward_contradiction,-0.113099,0.585,0.331449,600
moonshotai__kimi-k2.5,bidirectional_entailment,0.28565,0.606667,0.334953,600
moonshotai__kimi-k2.5,nli_boundary_risk,-0.239145,0.593333,0.33457,600
moonshotai__kimi-k2.5,nli_omission_risk,-0.24444,0.605,0.333544,600
moonshotai__kimi-k2.5,nli_contradiction_risk,-0.291977,0.586667,0.335253,600
moonshotai__kimi-k2.5,semantic_fidelity_score,0.347681,0.61,0.337757,600
openai__gpt-5.2,forward_entailment,0.172815,0.611667,0.415624,600
openai__gpt-5.2,forward_neutral,-0.031059,0.601667,0.412527,600
openai__gpt-5.2,forward_contradiction,-0.146696,0.608333,0.412994,600
openai__gpt-5.2,backward_entailment,0.448638,0.631667,0.424545,600
openai__gpt-5.2,backward_neutral,-0.435576,0.63,0.423205,600
openai__gpt-5.2,backward_contradiction,-0.113873,0.601667,0.41442,600
openai__gpt-5.2,bidirectional_entailment,0.415435,0.635,0.42435,600
openai__gpt-5.2,nli_boundary_risk,-0.172815,0.611667,0.415624,600
openai__gpt-5.2,nli_omission_risk,-0.448639,0.631667,0.424545,600
openai__gpt-5.2,nli_contradiction_risk,-0.116756,0.608333,0.413837,600
openai__gpt-5.2,semantic_fidelity_score,0.421533,0.633333,0.425519,600
