id,top1_entropy,disagreement_layer,top1_votes
009,1.521928,high,"{""A"": 1, ""B"": 2, ""C"": 2}"
034,1.521928,high,"{""A"": 1, ""B"": 2, ""C"": 2}"
052,1.521928,high,"{""A"": 1, ""B"": 2, ""C"": 2}"
107,1.521928,high,"{""A"": 1, ""B"": 2, ""C"": 2}"
170,1.521928,high,"{""A"": 1, ""B"": 2, ""C"": 2}"
179,1.521928,high,"{""A"": 1, ""B"": 2, ""C"": 2}"
189,1.521928,high,"{""A"": 2, ""B"": 1, ""C"": 2}"
024,1.370951,high,"{""A"": 1, ""B"": 1, ""C"": 3}"
081,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
114,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
130,1.370951,high,"{""A"": 1, ""B"": 3, ""C"": 1}"
145,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
161,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
174,1.370951,high,"{""A"": 1, ""B"": 3, ""C"": 1}"
180,1.370951,high,"{""A"": 1, ""B"": 1, ""C"": 3}"
197,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
002,0.970951,medium,"{""B"": 2, ""C"": 3}"
004,0.970951,medium,"{""A"": 2, ""B"": 3}"
010,0.970951,medium,"{""A"": 2, ""C"": 3}"
011,0.970951,medium,"{""A"": 3, ""B"": 2}"
013,0.970951,medium,"{""B"": 2, ""C"": 3}"
028,0.970951,medium,"{""A"": 2, ""C"": 3}"
042,0.970951,medium,"{""B"": 3, ""C"": 2}"
051,0.970951,medium,"{""A"": 2, ""B"": 3}"
057,0.970951,medium,"{""B"": 2, ""C"": 3}"
063,0.970951,medium,"{""B"": 2, ""C"": 3}"
082,0.970951,medium,"{""B"": 3, ""C"": 2}"
092,0.970951,medium,"{""B"": 3, ""C"": 2}"
133,0.970951,medium,"{""A"": 2, ""C"": 3}"
144,0.970951,medium,"{""B"": 3, ""C"": 2}"
153,0.970951,medium,"{""B"": 2, ""C"": 3}"
155,0.970951,medium,"{""A"": 2, ""C"": 3}"
156,0.970951,medium,"{""B"": 3, ""C"": 2}"
164,0.970951,medium,"{""B"": 2, ""C"": 3}"
171,0.970951,medium,"{""A"": 3, ""C"": 2}"
176,0.970951,medium,"{""A"": 2, ""B"": 3}"
182,0.970951,medium,"{""A"": 3, ""C"": 2}"
183,0.970951,medium,"{""B"": 2, ""C"": 3}"
185,0.970951,medium,"{""B"": 2, ""C"": 3}"
191,0.970951,medium,"{""A"": 2, ""C"": 3}"
001,0.721928,medium,"{""A"": 1, ""C"": 4}"
003,0.721928,medium,"{""B"": 4, ""C"": 1}"
007,0.721928,medium,"{""B"": 1, ""C"": 4}"
012,0.721928,medium,"{""B"": 1, ""C"": 4}"
017,0.721928,medium,"{""A"": 1, ""B"": 4}"
020,0.721928,medium,"{""A"": 1, ""B"": 4}"
021,0.721928,medium,"{""A"": 4, ""C"": 1}"
022,0.721928,medium,"{""A"": 4, ""B"": 1}"
025,0.721928,medium,"{""A"": 4, ""C"": 1}"
027,0.721928,medium,"{""A"": 4, ""B"": 1}"
035,0.721928,medium,"{""A"": 4, ""B"": 1}"
036,0.721928,medium,"{""A"": 1, ""B"": 4}"
038,0.721928,medium,"{""B"": 4, ""C"": 1}"
047,0.721928,medium,"{""B"": 1, ""C"": 4}"
048,0.721928,medium,"{""A"": 1, ""C"": 4}"
050,0.721928,medium,"{""B"": 1, ""C"": 4}"
054,0.721928,medium,"{""A"": 1, ""C"": 4}"
058,0.721928,medium,"{""A"": 4, ""B"": 1}"
067,0.721928,medium,"{""A"": 4, ""C"": 1}"
070,0.721928,medium,"{""B"": 1, ""C"": 4}"
075,0.721928,medium,"{""B"": 4, ""C"": 1}"
077,0.721928,medium,"{""B"": 4, ""C"": 1}"
078,0.721928,medium,"{""A"": 4, ""B"": 1}"
079,0.721928,medium,"{""A"": 4, ""C"": 1}"
080,0.721928,medium,"{""B"": 1, ""C"": 4}"
083,0.721928,medium,"{""A"": 4, ""B"": 1}"
084,0.721928,medium,"{""A"": 4, ""C"": 1}"
086,0.721928,medium,"{""A"": 4, ""B"": 1}"
093,0.721928,medium,"{""A"": 1, ""B"": 4}"
098,0.721928,medium,"{""A"": 1, ""C"": 4}"
100,0.721928,medium,"{""B"": 4, ""C"": 1}"
111,0.721928,medium,"{""A"": 1, ""C"": 4}"
112,0.721928,medium,"{""A"": 4, ""C"": 1}"
124,0.721928,medium,"{""A"": 1, ""C"": 4}"
125,0.721928,medium,"{""A"": 1, ""B"": 4}"
128,0.721928,medium,"{""B"": 1, ""C"": 4}"
136,0.721928,medium,"{""B"": 1, ""C"": 4}"
138,0.721928,medium,"{""B"": 1, ""C"": 4}"
