organized_path,source_path,version,direction,category,note
data/organized_analysis_outputs/01_human_reference_alignment/human_reference_top1_by_judge.csv,generated,,,01_human_reference_alignment,Human reference top-1 alignment statistics.
data/organized_analysis_outputs/01_human_reference_alignment/human_reference_top1_by_sample.csv,generated,,,01_human_reference_alignment,Human reference top-1 alignment statistics.
data/organized_analysis_outputs/01_human_reference_alignment/human_reference_top1_by_sample.json,generated,,,01_human_reference_alignment,Human reference top-1 alignment statistics.
data/organized_analysis_outputs/01_human_reference_alignment/human_reference_top1_by_self_excluded_judge_set.csv,generated,,,01_human_reference_alignment,Human reference top-1 alignment statistics.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.condorcet_summary.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.five_models.condorcet_summary.csv,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.consensus_borda_summary.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.five_models.consensus_borda_summary.csv,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.high_disagreement_summary.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.five_models.high_disagreement_summary.csv,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.minority_model_summary.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.five_models.minority_model_summary.csv,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.model_vs_consensus_agreement.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.five_models.model_vs_consensus_agreement.csv,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.pairwise_agreement.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.five_models.pairwise_agreement.csv,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.top1_average_features.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.five_models.top1_average_features.csv,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.top1_entropy_layer_summary.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.five_models.top1_entropy_layer_summary.csv,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.top1_entropy_layers.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.five_models.top1_entropy_layers.csv,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.condorcet_detail.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.five_models.condorcet_detail.json,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.consensus_borda.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.five_models.consensus_borda.json,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.high_disagreement_samples.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.five_models.high_disagreement_samples.json,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.minority_model_events.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.five_models.minority_model_events.json,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__EC__ffn_200ec.all_judges_5model.pairwise_judgments.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.five_models.pairwise_judgments.json,kimi-version,EC,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded/kimi-version__EC__ffn_200ec.legacy_four_judges_not_self_excluded.condorcet_summary.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.four_models.condorcet_summary.csv,kimi-version,EC,02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded,Historical four_models outputs; not a valid self-exclusion set for Kimi.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded/kimi-version__EC__ffn_200ec.legacy_four_judges_not_self_excluded.consensus_borda_summary.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.four_models.consensus_borda_summary.csv,kimi-version,EC,02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded,Historical four_models outputs; not a valid self-exclusion set for Kimi.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded/kimi-version__EC__ffn_200ec.legacy_four_judges_not_self_excluded.high_disagreement_summary.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.four_models.high_disagreement_summary.csv,kimi-version,EC,02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded,Historical four_models outputs; not a valid self-exclusion set for Kimi.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded/kimi-version__EC__ffn_200ec.legacy_four_judges_not_self_excluded.minority_model_summary.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.four_models.minority_model_summary.csv,kimi-version,EC,02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded,Historical four_models outputs; not a valid self-exclusion set for Kimi.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded/kimi-version__EC__ffn_200ec.legacy_four_judges_not_self_excluded.model_vs_consensus_agreement.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.four_models.model_vs_consensus_agreement.csv,kimi-version,EC,02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded,Historical four_models outputs; not a valid self-exclusion set for Kimi.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded/kimi-version__EC__ffn_200ec.legacy_four_judges_not_self_excluded.pairwise_agreement.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.four_models.pairwise_agreement.csv,kimi-version,EC,02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded,Historical four_models outputs; not a valid self-exclusion set for Kimi.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded/kimi-version__EC__ffn_200ec.legacy_four_judges_not_self_excluded.top1_entropy_layer_summary.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.four_models.top1_entropy_layer_summary.csv,kimi-version,EC,02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded,Historical four_models outputs; not a valid self-exclusion set for Kimi.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded/kimi-version__EC__ffn_200ec.legacy_four_judges_not_self_excluded.top1_entropy_layers.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.four_models.top1_entropy_layers.csv,kimi-version,EC,02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded,Historical four_models outputs; not a valid self-exclusion set for Kimi.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded/kimi-version__EC__ffn_200ec.legacy_four_judges_not_self_excluded.condorcet_detail.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.four_models.condorcet_detail.json,kimi-version,EC,02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded,Historical four_models outputs; not a valid self-exclusion set for Kimi.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded/kimi-version__EC__ffn_200ec.legacy_four_judges_not_self_excluded.consensus_borda.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.four_models.consensus_borda.json,kimi-version,EC,02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded,Historical four_models outputs; not a valid self-exclusion set for Kimi.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded/kimi-version__EC__ffn_200ec.legacy_four_judges_not_self_excluded.high_disagreement_samples.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.four_models.high_disagreement_samples.json,kimi-version,EC,02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded,Historical four_models outputs; not a valid self-exclusion set for Kimi.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded/kimi-version__EC__ffn_200ec.legacy_four_judges_not_self_excluded.minority_model_events.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.four_models.minority_model_events.json,kimi-version,EC,02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded,Historical four_models outputs; not a valid self-exclusion set for Kimi.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded/kimi-version__EC__ffn_200ec.legacy_four_judges_not_self_excluded.pairwise_judgments.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.four_models.pairwise_judgments.json,kimi-version,EC,02_judge_agreement_and_consensus/legacy_four_judges_not_self_excluded,Historical four_models outputs; not a valid self-exclusion set for Kimi.
data/organized_analysis_outputs/03_self_excluded_judge_sets/kimi-version__EC__ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.consensus_borda_summary.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.consensus_borda_summary.csv,kimi-version,EC,03_self_excluded_judge_sets,Judge set excluding the candidate generator itself.
data/organized_analysis_outputs/03_self_excluded_judge_sets/kimi-version__EC__ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.all_judges_5model.joint_features.cluster_robust_pairwise_logistic.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.joint_features.cluster_robust_pairwise_logistic.csv,kimi-version,EC,03_self_excluded_judge_sets,Judge set excluding the candidate generator itself.
data/organized_analysis_outputs/03_self_excluded_judge_sets/kimi-version__EC__ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.all_judges_5model.joint_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.joint_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version,EC,03_self_excluded_judge_sets,Judge set excluding the candidate generator itself.
