feature,model,value,rank_for_feature
clause_count,deepseek__deepseek-v4-flash,10.665,1
clause_count,google__gemini-3-flash-preview,10.65,2
clause_count,anthropic__claude-sonnet-4.6,10.59,3
clause_count,openai__gpt-5.2,10.525,4
clause_count,moonshotai__kimi-k2.5,10.52,5
dependency_depth,anthropic__claude-sonnet-4.6,6.8,1
dependency_depth,deepseek__deepseek-v4-flash,6.78,2
dependency_depth,moonshotai__kimi-k2.5,6.765,3
dependency_depth,google__gemini-3-flash-preview,6.76,4
dependency_depth,openai__gpt-5.2,6.755,5
mean_dependency_distance,deepseek__deepseek-v4-flash,3.522763,1
mean_dependency_distance,openai__gpt-5.2,3.52194,2
mean_dependency_distance,google__gemini-3-flash-preview,3.519914,3
mean_dependency_distance,anthropic__claude-sonnet-4.6,3.515393,4
mean_dependency_distance,moonshotai__kimi-k2.5,3.504441,5
max_dependency_distance,google__gemini-3-flash-preview,30.875,1
max_dependency_distance,anthropic__claude-sonnet-4.6,30.8,2
max_dependency_distance,deepseek__deepseek-v4-flash,30.75,3
max_dependency_distance,openai__gpt-5.2,30.56,4
max_dependency_distance,moonshotai__kimi-k2.5,30.23,5
normalized_dependency_distance,moonshotai__kimi-k2.5,0.044816,1
normalized_dependency_distance,openai__gpt-5.2,0.044774,2
normalized_dependency_distance,anthropic__claude-sonnet-4.6,0.044602,3
normalized_dependency_distance,google__gemini-3-flash-preview,0.04457,4
normalized_dependency_distance,deepseek__deepseek-v4-flash,0.044292,5
nominalization_ratio,anthropic__claude-sonnet-4.6,0.567668,1
nominalization_ratio,openai__gpt-5.2,0.567615,2
nominalization_ratio,deepseek__deepseek-v4-flash,0.565904,3
nominalization_ratio,google__gemini-3-flash-preview,0.565328,4
nominalization_ratio,moonshotai__kimi-k2.5,0.565265,5
modifier_density,openai__gpt-5.2,0.482115,1
modifier_density,anthropic__claude-sonnet-4.6,0.480848,2
modifier_density,moonshotai__kimi-k2.5,0.479789,3
modifier_density,google__gemini-3-flash-preview,0.476711,4
modifier_density,deepseek__deepseek-v4-flash,0.476392,5
coordination_count,anthropic__claude-sonnet-4.6,6.985,1
coordination_count,deepseek__deepseek-v4-flash,6.96,2
coordination_count,google__gemini-3-flash-preview,6.88,3
coordination_count,moonshotai__kimi-k2.5,6.87,4
coordination_count,openai__gpt-5.2,6.8,5
passive_count,moonshotai__kimi-k2.5,3.41,1
passive_count,anthropic__claude-sonnet-4.6,3.42,2
passive_count,google__gemini-3-flash-preview,3.425,3
passive_count,openai__gpt-5.2,3.465,4
passive_count,deepseek__deepseek-v4-flash,3.58,5
sentence_compression_ratio,deepseek__deepseek-v4-flash,0.653534,1
sentence_compression_ratio,anthropic__claude-sonnet-4.6,0.646349,2
sentence_compression_ratio,google__gemini-3-flash-preview,0.646314,3
sentence_compression_ratio,openai__gpt-5.2,0.645783,4
sentence_compression_ratio,moonshotai__kimi-k2.5,0.640466,5
