version,direction,dataset,judge_model,sample_id,human_candidate,top1_candidate,human_rank,human_is_top1,human_is_top2_or_better
kimi-version,EC,ffn_200ec,openai__gpt-5.2,001,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,002,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,003,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,004,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,005,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,006,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,007,C,C,1,True,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,008,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,009,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,010,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,011,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,012,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,013,A,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,014,A,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,015,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,016,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,017,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,018,A,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,019,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,020,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,021,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,022,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,023,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,024,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,025,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,026,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,027,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,028,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,029,B,A,3,False,False
