model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
deepseek__deepseek-v4-flash,intercept,0.240989,0.095061,2.535086,0.011242,0.054668,0.427309,True,0.718333,600,200
deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.746096,0.137407,5.429835,0.0,0.476779,1.015413,True,0.718333,600,200
deepseek__deepseek-v4-flash,bidirectional_entailment,0.07995,0.125781,0.635625,0.525021,-0.166582,0.326481,False,0.718333,600,200
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.161251,0.128051,-1.25927,0.207933,-0.412231,0.089729,False,0.718333,600,200
deepseek__deepseek-v4-flash,nli_omission_risk,-0.351809,0.091567,-3.842099,0.000122,-0.53128,-0.172338,True,0.718333,600,200
deepseek__deepseek-v4-flash,nli_contradiction_risk,-0.070141,0.084086,-0.834164,0.404189,-0.23495,0.094667,False,0.718333,600,200
deepseek__deepseek-v4-flash,dependency_depth,-0.069464,0.102613,-0.676952,0.498437,-0.270585,0.131657,False,0.718333,600,200
deepseek__deepseek-v4-flash,mean_dependency_distance,0.014811,0.133301,0.11111,0.911529,-0.246458,0.27608,False,0.718333,600,200
deepseek__deepseek-v4-flash,normalized_dependency_distance,-0.188549,0.157167,-1.199672,0.230267,-0.496595,0.119498,False,0.718333,600,200
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.387175,0.174462,-2.219249,0.02647,-0.729121,-0.045229,True,0.718333,600,200
deepseek__deepseek-v4-flash,extra_number_ratio,-0.53222,0.081805,-6.505979,0.0,-0.692557,-0.371883,True,0.718333,600,200
deepseek__deepseek-v4-flash,extra_entity_count,0.070265,0.106053,0.662544,0.507622,-0.137598,0.278127,False,0.718333,600,200
deepseek__deepseek-v4-flash,register_score,0.183473,0.093249,1.967574,0.049117,0.000706,0.366241,True,0.718333,600,200
deepseek__deepseek-v4-flash,target_lm_naturalness_score,0.6835,0.142848,4.784806,2e-06,0.403518,0.963482,True,0.718333,600,200
deepseek__deepseek-v4-flash,target_function_word_density,-0.002802,0.104828,-0.026732,0.978673,-0.208265,0.202661,False,0.718333,600,200
deepseek__deepseek-v4-flash,target_passive_density,-0.375515,0.116508,-3.223084,0.001268,-0.603871,-0.147159,True,0.718333,600,200
deepseek__deepseek-v4-flash,target_pronoun_subject_ratio,0.186817,0.120991,1.544064,0.122573,-0.050324,0.423959,False,0.718333,600,200
deepseek__deepseek-v4-flash,target_explicit_connective_density,-0.246115,0.114168,-2.15572,0.031106,-0.469885,-0.022345,True,0.718333,600,200
deepseek__deepseek-v4-flash,target_nominalization_suffix_density,0.105334,0.11802,0.892504,0.372123,-0.125986,0.336654,False,0.718333,600,200
deepseek__deepseek-v4-flash,target_avg_sentence_length,0.045819,0.160409,0.285641,0.775153,-0.268582,0.360221,False,0.718333,600,200
google__gemini-3-flash-preview,intercept,-0.488392,0.099854,-4.891068,1e-06,-0.684105,-0.292678,True,0.715,600,200
google__gemini-3-flash-preview,crosslingual_embedding_similarity,0.765212,0.136388,5.610554,0.0,0.497891,1.032532,True,0.715,600,200
google__gemini-3-flash-preview,bidirectional_entailment,0.137594,0.107701,1.27755,0.201408,-0.073501,0.348688,False,0.715,600,200
