id,consensus_order,top1_candidate,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C
001,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
002,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,7,7
003,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
004,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",7,7,10
005,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
006,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",9,7,8
007,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
008,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
009,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
010,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6
011,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",7,8,9
012,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,7,7
013,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8
014,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,6,10
015,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
016,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
017,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",8,8,8
018,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
019,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10
020,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
021,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,10,9
022,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
023,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
