feature,model,value,rank_for_feature
embedding_similarity,openai__gpt-5.2,0.896252,1
embedding_similarity,anthropic__claude-sonnet-4.6,0.896184,2
embedding_similarity,google__gemini-3-flash-preview,0.895149,3
embedding_similarity,moonshotai__kimi-k2.5,0.894823,4
extra_number_count,anthropic__claude-sonnet-4.6,0.7,1
extra_number_count,google__gemini-3-flash-preview,0.7,2
extra_number_count,moonshotai__kimi-k2.5,0.7,3
extra_number_count,openai__gpt-5.2,0.705,4
extra_number_ratio,moonshotai__kimi-k2.5,0.290141,1
extra_number_ratio,anthropic__claude-sonnet-4.6,0.291641,2
extra_number_ratio,google__gemini-3-flash-preview,0.294427,3
extra_number_ratio,openai__gpt-5.2,0.295677,4
extra_entity_count,anthropic__claude-sonnet-4.6,0.86,1
extra_entity_count,moonshotai__kimi-k2.5,0.875,2
extra_entity_count,google__gemini-3-flash-preview,0.88,3
extra_entity_count,openai__gpt-5.2,0.895,4
specificity_expansion,anthropic__claude-sonnet-4.6,0.097886,1
specificity_expansion,moonshotai__kimi-k2.5,0.099222,2
specificity_expansion,google__gemini-3-flash-preview,0.099285,3
specificity_expansion,openai__gpt-5.2,0.099895,4
financial_register_score,moonshotai__kimi-k2.5,0.800108,1
financial_register_score,google__gemini-3-flash-preview,0.796483,2
financial_register_score,openai__gpt-5.2,0.79642,3
financial_register_score,anthropic__claude-sonnet-4.6,0.794821,4
statistical_register_score,google__gemini-3-flash-preview,0.467224,1
statistical_register_score,anthropic__claude-sonnet-4.6,0.462591,2
statistical_register_score,moonshotai__kimi-k2.5,0.459586,3
statistical_register_score,openai__gpt-5.2,0.441417,4
register_score,google__gemini-3-flash-preview,0.648316,1
register_score,moonshotai__kimi-k2.5,0.646873,2
register_score,anthropic__claude-sonnet-4.6,0.645317,3
register_score,openai__gpt-5.2,0.636669,4
syntactic_complexity,anthropic__claude-sonnet-4.6,0.445883,1
syntactic_complexity,openai__gpt-5.2,0.443684,2
syntactic_complexity,google__gemini-3-flash-preview,0.442688,3
syntactic_complexity,moonshotai__kimi-k2.5,0.441225,4
translationese_score,google__gemini-3-flash-preview,0.149327,1
translationese_score,moonshotai__kimi-k2.5,0.151366,2
translationese_score,openai__gpt-5.2,0.153265,3
translationese_score,anthropic__claude-sonnet-4.6,0.153765,4
