feature,model,value,rank_for_feature
extra_number_count,deepseek__deepseek-v4-flash,0.695,1
extra_number_count,anthropic__claude-sonnet-4.6,0.7,2
extra_number_count,google__gemini-3-flash-preview,0.7,3
extra_number_count,moonshotai__kimi-k2.5,0.7,4
extra_number_count,openai__gpt-5.2,0.705,5
extra_number_ratio,deepseek__deepseek-v4-flash,0.289141,1
extra_number_ratio,moonshotai__kimi-k2.5,0.290141,2
extra_number_ratio,anthropic__claude-sonnet-4.6,0.291641,3
extra_number_ratio,google__gemini-3-flash-preview,0.294427,4
extra_number_ratio,openai__gpt-5.2,0.295677,5
extra_entity_count,anthropic__claude-sonnet-4.6,0.86,1
extra_entity_count,deepseek__deepseek-v4-flash,0.875,2
extra_entity_count,moonshotai__kimi-k2.5,0.875,3
extra_entity_count,google__gemini-3-flash-preview,0.88,4
extra_entity_count,openai__gpt-5.2,0.895,5
financial_register_score,moonshotai__kimi-k2.5,0.800108,1
financial_register_score,deepseek__deepseek-v4-flash,0.798446,2
financial_register_score,google__gemini-3-flash-preview,0.796483,3
financial_register_score,openai__gpt-5.2,0.79642,4
financial_register_score,anthropic__claude-sonnet-4.6,0.794821,5
statistical_register_score,google__gemini-3-flash-preview,0.467224,1
statistical_register_score,anthropic__claude-sonnet-4.6,0.462591,2
statistical_register_score,moonshotai__kimi-k2.5,0.459586,3
statistical_register_score,deepseek__deepseek-v4-flash,0.452964,4
statistical_register_score,openai__gpt-5.2,0.441417,5
register_score,google__gemini-3-flash-preview,0.648316,1
register_score,moonshotai__kimi-k2.5,0.646873,2
register_score,anthropic__claude-sonnet-4.6,0.645317,3
register_score,deepseek__deepseek-v4-flash,0.642979,4
register_score,openai__gpt-5.2,0.636669,5
translationese_score,google__gemini-3-flash-preview,0.149327,1
translationese_score,deepseek__deepseek-v4-flash,0.150099,2
translationese_score,moonshotai__kimi-k2.5,0.151366,3
translationese_score,openai__gpt-5.2,0.153265,4
translationese_score,anthropic__claude-sonnet-4.6,0.153765,5
