model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,forward_entailment,-0.113887,0.533333,0.038688,600
anthropic__claude-sonnet-4.6,forward_neutral,0.104447,0.533333,0.038688,600
anthropic__claude-sonnet-4.6,forward_contradiction,0.076232,0.533333,0.038688,600
anthropic__claude-sonnet-4.6,backward_entailment,0.084687,0.533333,0.038688,600
anthropic__claude-sonnet-4.6,backward_neutral,-0.075037,0.533333,0.038688,600
anthropic__claude-sonnet-4.6,backward_contradiction,-0.052821,0.533333,0.038688,600
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.325595,0.533333,0.038688,600
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.113886,0.533333,0.038688,600
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.084678,0.533333,0.038688,600
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.097548,0.533333,0.038688,600
anthropic__claude-sonnet-4.6,semantic_fidelity_score,-0.01865,0.533333,0.038688,600
deepseek__deepseek-v4-flash,forward_entailment,0.054629,0.608333,0.223854,600
deepseek__deepseek-v4-flash,forward_neutral,-0.069732,0.608333,0.223854,600
deepseek__deepseek-v4-flash,forward_contradiction,0.100526,0.608333,0.223854,600
deepseek__deepseek-v4-flash,backward_entailment,0.334822,0.608333,0.223854,600
deepseek__deepseek-v4-flash,backward_neutral,-0.359269,0.608333,0.223854,600
deepseek__deepseek-v4-flash,backward_contradiction,0.065397,0.608333,0.223854,600
deepseek__deepseek-v4-flash,bidirectional_entailment,0.18189,0.608333,0.223854,600
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.054625,0.608333,0.223854,600
deepseek__deepseek-v4-flash,nli_omission_risk,-0.334801,0.608333,0.223854,600
deepseek__deepseek-v4-flash,nli_contradiction_risk,-0.002889,0.608333,0.223854,600
deepseek__deepseek-v4-flash,semantic_fidelity_score,0.184792,0.608333,0.223854,600
google__gemini-3-flash-preview,forward_entailment,-0.000503,0.586667,-0.325517,600
google__gemini-3-flash-preview,forward_neutral,0.003443,0.586667,-0.325517,600
google__gemini-3-flash-preview,forward_contradiction,-0.020408,0.586667,-0.325517,600
google__gemini-3-flash-preview,backward_entailment,0.098622,0.586667,-0.325517,600
google__gemini-3-flash-preview,backward_neutral,-0.157795,0.586667,-0.325517,600
google__gemini-3-flash-preview,backward_contradiction,0.247048,0.586667,-0.325517,600
google__gemini-3-flash-preview,bidirectional_entailment,-0.063206,0.586667,-0.325517,600
google__gemini-3-flash-preview,nli_boundary_risk,0.000513,0.586667,-0.325517,600
google__gemini-3-flash-preview,nli_omission_risk,-0.098602,0.586667,-0.325517,600
google__gemini-3-flash-preview,nli_contradiction_risk,0.049758,0.586667,-0.325517,600
google__gemini-3-flash-preview,semantic_fidelity_score,0.028287,0.586667,-0.325517,600
moonshotai__kimi-k2.5,forward_entailment,-0.103321,0.62,0.444085,600
moonshotai__kimi-k2.5,forward_neutral,0.10006,0.62,0.444085,600
moonshotai__kimi-k2.5,forward_contradiction,0.032216,0.62,0.444085,600
moonshotai__kimi-k2.5,backward_entailment,0.081149,0.62,0.444085,600
moonshotai__kimi-k2.5,backward_neutral,-0.103502,0.62,0.444085,600
moonshotai__kimi-k2.5,backward_contradiction,0.087792,0.62,0.444085,600
moonshotai__kimi-k2.5,bidirectional_entailment,0.331534,0.62,0.444085,600
moonshotai__kimi-k2.5,nli_boundary_risk,0.103332,0.62,0.444085,600
moonshotai__kimi-k2.5,nli_omission_risk,-0.081152,0.62,0.444085,600
moonshotai__kimi-k2.5,nli_contradiction_risk,-0.037058,0.62,0.444085,600
moonshotai__kimi-k2.5,semantic_fidelity_score,-0.029432,0.62,0.444085,600
openai__gpt-5.2,forward_entailment,-0.044012,0.53,0.073325,600
openai__gpt-5.2,forward_neutral,0.032745,0.53,0.073325,600
openai__gpt-5.2,forward_contradiction,0.082761,0.53,0.073325,600
openai__gpt-5.2,backward_entailment,0.033603,0.53,0.073325,600
openai__gpt-5.2,backward_neutral,-0.021649,0.53,0.073325,600
openai__gpt-5.2,backward_contradiction,-0.056535,0.53,0.073325,600
openai__gpt-5.2,bidirectional_entailment,0.284537,0.53,0.073325,600
openai__gpt-5.2,nli_boundary_risk,0.044026,0.53,0.073325,600
openai__gpt-5.2,nli_omission_risk,-0.033594,0.53,0.073325,600
openai__gpt-5.2,nli_contradiction_risk,-0.085901,0.53,0.073325,600
openai__gpt-5.2,semantic_fidelity_score,0.006625,0.53,0.073325,600
