model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,clause_count,0.170555,0.616667,-0.096337,600
anthropic__claude-sonnet-4.6,dependency_depth,-0.060033,0.616667,-0.096337,600
anthropic__claude-sonnet-4.6,mean_dependency_distance,-0.101408,0.616667,-0.096337,600
anthropic__claude-sonnet-4.6,max_dependency_distance,0.127489,0.616667,-0.096337,600
anthropic__claude-sonnet-4.6,normalized_dependency_distance,0.091378,0.616667,-0.096337,600
anthropic__claude-sonnet-4.6,nominalization_ratio,0.224045,0.616667,-0.096337,600
anthropic__claude-sonnet-4.6,modifier_density,0.242774,0.616667,-0.096337,600
anthropic__claude-sonnet-4.6,coordination_count,0.042044,0.616667,-0.096337,600
anthropic__claude-sonnet-4.6,passive_or_beishi_count,-0.328395,0.616667,-0.096337,600
anthropic__claude-sonnet-4.6,sentence_compression_ratio,0.290676,0.616667,-0.096337,600
deepseek__deepseek-v4-flash,clause_count,0.088398,0.613333,0.309332,600
deepseek__deepseek-v4-flash,dependency_depth,-0.152543,0.613333,0.309332,600
deepseek__deepseek-v4-flash,mean_dependency_distance,-0.102741,0.613333,0.309332,600
deepseek__deepseek-v4-flash,max_dependency_distance,0.116956,0.613333,0.309332,600
deepseek__deepseek-v4-flash,normalized_dependency_distance,0.128997,0.613333,0.309332,600
deepseek__deepseek-v4-flash,nominalization_ratio,0.152755,0.613333,0.309332,600
deepseek__deepseek-v4-flash,modifier_density,0.157853,0.613333,0.309332,600
deepseek__deepseek-v4-flash,coordination_count,0.157697,0.613333,0.309332,600
deepseek__deepseek-v4-flash,passive_or_beishi_count,-0.286692,0.613333,0.309332,600
deepseek__deepseek-v4-flash,sentence_compression_ratio,0.112999,0.613333,0.309332,600
google__gemini-3-flash-preview,clause_count,0.225199,0.651667,-0.11791,600
google__gemini-3-flash-preview,dependency_depth,-0.134741,0.651667,-0.11791,600
google__gemini-3-flash-preview,mean_dependency_distance,-0.027881,0.651667,-0.11791,600
google__gemini-3-flash-preview,max_dependency_distance,0.203229,0.651667,-0.11791,600
google__gemini-3-flash-preview,normalized_dependency_distance,0.0833,0.651667,-0.11791,600
google__gemini-3-flash-preview,nominalization_ratio,0.25308,0.651667,-0.11791,600
google__gemini-3-flash-preview,modifier_density,0.241296,0.651667,-0.11791,600
google__gemini-3-flash-preview,coordination_count,0.021846,0.651667,-0.11791,600
google__gemini-3-flash-preview,passive_or_beishi_count,-0.344563,0.651667,-0.11791,600
google__gemini-3-flash-preview,sentence_compression_ratio,0.129299,0.651667,-0.11791,600
moonshotai__kimi-k2.5,clause_count,0.229764,0.636667,0.151683,600
moonshotai__kimi-k2.5,dependency_depth,-0.129482,0.636667,0.151683,600
moonshotai__kimi-k2.5,mean_dependency_distance,0.014206,0.636667,0.151683,600
moonshotai__kimi-k2.5,max_dependency_distance,0.09492,0.636667,0.151683,600
moonshotai__kimi-k2.5,normalized_dependency_distance,-0.042822,0.636667,0.151683,600
moonshotai__kimi-k2.5,nominalization_ratio,0.343914,0.636667,0.151683,600
moonshotai__kimi-k2.5,modifier_density,0.282184,0.636667,0.151683,600
moonshotai__kimi-k2.5,coordination_count,0.040631,0.636667,0.151683,600
moonshotai__kimi-k2.5,passive_or_beishi_count,-0.37899,0.636667,0.151683,600
moonshotai__kimi-k2.5,sentence_compression_ratio,0.153205,0.636667,0.151683,600
openai__gpt-5.2,clause_count,0.198393,0.615,0.2657,600
openai__gpt-5.2,dependency_depth,-0.168339,0.615,0.2657,600
openai__gpt-5.2,mean_dependency_distance,-0.023891,0.615,0.2657,600
openai__gpt-5.2,max_dependency_distance,0.225894,0.615,0.2657,600
openai__gpt-5.2,normalized_dependency_distance,-0.022422,0.615,0.2657,600
openai__gpt-5.2,nominalization_ratio,0.143846,0.615,0.2657,600
openai__gpt-5.2,modifier_density,0.303019,0.615,0.2657,600
openai__gpt-5.2,coordination_count,0.004423,0.615,0.2657,600
openai__gpt-5.2,passive_or_beishi_count,-0.380238,0.615,0.2657,600
openai__gpt-5.2,sentence_compression_ratio,0.066506,0.615,0.2657,600
