model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
deepseek__deepseek-v4-flash,intercept,0.346787,0.087889,3.94573,8e-05,0.174524,0.51905,True,0.668333,600,200
deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.142913,0.114652,1.246498,0.212581,-0.081804,0.36763,False,0.668333,600,200
deepseek__deepseek-v4-flash,bidirectional_entailment,-0.121846,0.141145,-0.863271,0.387988,-0.39849,0.154797,False,0.668333,600,200
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.018463,0.089905,-0.205363,0.837289,-0.194677,0.157751,False,0.668333,600,200
deepseek__deepseek-v4-flash,nli_omission_risk,-0.418693,0.145504,-2.877537,0.004008,-0.70388,-0.133505,True,0.668333,600,200
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.089171,0.154229,0.578172,0.563148,-0.213118,0.391461,False,0.668333,600,200
deepseek__deepseek-v4-flash,dependency_depth,-0.141189,0.101055,-1.397156,0.162367,-0.339256,0.056878,False,0.668333,600,200
deepseek__deepseek-v4-flash,mean_dependency_distance,-0.027045,0.158077,-0.171091,0.864153,-0.336876,0.282785,False,0.668333,600,200
deepseek__deepseek-v4-flash,normalized_dependency_distance,0.12175,0.154727,0.786871,0.431357,-0.181515,0.425015,False,0.668333,600,200
deepseek__deepseek-v4-flash,sentence_compression_ratio,0.214355,0.156692,1.367997,0.171313,-0.092762,0.521471,False,0.668333,600,200
deepseek__deepseek-v4-flash,extra_number_ratio,-0.187501,0.112067,-1.67312,0.094304,-0.407152,0.03215,False,0.668333,600,200
deepseek__deepseek-v4-flash,extra_entity_count,-0.095287,0.094223,-1.011287,0.311879,-0.279965,0.089391,False,0.668333,600,200
deepseek__deepseek-v4-flash,register_score,0.050468,0.109568,0.460608,0.64508,-0.164285,0.26522,False,0.668333,600,200
deepseek__deepseek-v4-flash,translationese_score,-0.825615,0.115825,-7.128127,0.0,-1.052632,-0.598598,True,0.668333,600,200
deepseek__deepseek-v4-flash,target_lm_naturalness_score,0.348101,0.126547,2.750771,0.005946,0.100069,0.596132,True,0.668333,600,200
google__gemini-3-flash-preview,intercept,-0.129457,0.099339,-1.303189,0.19251,-0.324161,0.065247,False,0.706667,600,200
google__gemini-3-flash-preview,crosslingual_embedding_similarity,0.036207,0.116469,0.310874,0.755896,-0.192072,0.264486,False,0.706667,600,200
google__gemini-3-flash-preview,bidirectional_entailment,0.008715,0.123649,0.07048,0.943812,-0.233638,0.251067,False,0.706667,600,200
google__gemini-3-flash-preview,nli_boundary_risk,0.249867,0.115254,2.167971,0.030161,0.023969,0.475764,True,0.706667,600,200
google__gemini-3-flash-preview,nli_omission_risk,-0.34025,0.17502,-1.944061,0.051888,-0.68329,0.00279,False,0.706667,600,200
google__gemini-3-flash-preview,nli_contradiction_risk,-0.175528,0.160402,-1.094298,0.273824,-0.489916,0.13886,False,0.706667,600,200
