id,consensus_order,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C,borda_A,borda_B,borda_C,top1_votes
001,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
002,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
003,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
004,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
005,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11,8,3,1,"{""A"": 4}"
006,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
007,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
008,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
009,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
010,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
011,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,9,7,4,3,5,"{""A"": 1, ""B"": 1, ""C"": 2}"
012,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
013,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",10,9,5,2,3,7,"{""B"": 1, ""C"": 3}"
014,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4,4,0,8,"{""C"": 4}"
015,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4,4,0,8,"{""C"": 4}"
016,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
017,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10,8,2,2,"{""A"": 4}"
018,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8,0,8,4,"{""B"": 4}"
019,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
020,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,9,10,7,3,2,"{""A"": 3, ""B"": 1}"
021,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
022,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,7,7,2,5,5,"{""A"": 1, ""B"": 1, ""C"": 2}"
023,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
024,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11,8,3,1,"{""A"": 4}"
025,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4,4,0,8,"{""C"": 4}"
026,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,10,9,7,2,3,"{""A"": 3, ""C"": 1}"
027,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4,2,2,8,"{""C"": 4}"
028,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
029,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
030,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4,4,0,8,"{""C"": 4}"
031,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
032,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
033,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,5,11,4,7,1,"{""A"": 1, ""B"": 3}"
034,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
035,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",7,11,6,5,1,6,"{""A"": 1, ""C"": 3}"
036,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,7,11,6,5,1,"{""A"": 2, ""B"": 2}"
037,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
038,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4,2,2,8,"{""C"": 4}"
039,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
