feature,tier,dominant_sign,significant_models,total_models,positive,negative
bidirectional_entailment,no_stable_evidence,positive,2,8,8,0
clause_count,no_stable_evidence,negative,0,8,3,5
coordination_count,no_stable_evidence,positive,1,8,8,0
crosslingual_embedding_similarity,no_stable_evidence,positive,3,8,5,3
dependency_depth,no_stable_evidence,positive,0,8,6,2
extra_entity_count,no_stable_evidence,negative,1,8,0,8
extra_number_ratio,mostly_supported_with_exceptions,negative,6,8,0,8
mean_dependency_distance,mostly_supported_with_exceptions,positive,6,8,8,0
modifier_density,no_stable_evidence,positive,4,8,8,0
nli_boundary_risk,no_stable_evidence,positive,4,8,8,0
nli_contradiction_risk,no_stable_evidence,negative,0,8,1,7
nli_omission_risk,no_stable_evidence,negative,3,8,0,8
nominalization_ratio,no_stable_evidence,positive,4,8,8,0
normalized_dependency_distance,no_stable_evidence,negative,4,8,1,7
passive_or_beishi_count,mostly_supported_with_exceptions,negative,7,8,0,8
register_score,no_stable_evidence,positive,3,8,8,0
sentence_compression_ratio,no_stable_evidence,positive,5,8,4,4
target_avg_sentence_length,no_stable_evidence,positive,3,8,8,0
target_explicit_connective_density,no_exception,negative,8,8,0,8
target_function_word_density,no_exception,negative,8,8,0,8
target_nominalization_suffix_density,no_stable_evidence,negative,0,8,1,7
target_passive_density,no_stable_evidence,negative,0,8,0,8
target_pronoun_subject_ratio,no_stable_evidence,negative,1,8,1,7
