id,consensus_order,top1_candidate,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C
001,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",9,7,8
002,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
003,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
004,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
005,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,7,11
006,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
007,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
008,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
009,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
010,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
011,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
012,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
013,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9
014,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,9,6
015,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
016,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
017,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
018,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
019,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
020,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
021,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
022,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,6,7
023,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
024,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
025,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
026,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,9
027,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
028,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
029,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
030,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,11,5
031,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,11,5
032,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
033,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
034,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
035,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
036,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10
037,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
038,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
039,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
040,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
041,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
