model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,crosslingual_embedding_similarity,0.708668,0.635,0.026666,600
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.145326,0.635,0.026666,600
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.103119,0.635,0.026666,600
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.330909,0.635,0.026666,600
anthropic__claude-sonnet-4.6,nli_contradiction_risk,0.018309,0.635,0.026666,600
anthropic__claude-sonnet-4.6,dependency_depth,0.081261,0.635,0.026666,600
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.219656,0.635,0.026666,600
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.349252,0.635,0.026666,600
anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.659861,0.635,0.026666,600
anthropic__claude-sonnet-4.6,extra_number_ratio,0.050513,0.635,0.026666,600
anthropic__claude-sonnet-4.6,extra_entity_count,0.152057,0.635,0.026666,600
anthropic__claude-sonnet-4.6,register_score,0.037159,0.635,0.026666,600
anthropic__claude-sonnet-4.6,translationese_score,0.146384,0.635,0.026666,600
anthropic__claude-sonnet-4.6,target_lm_naturalness_score,0.171292,0.635,0.026666,600
deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.833211,0.685,0.221621,600
deepseek__deepseek-v4-flash,bidirectional_entailment,0.064063,0.685,0.221621,600
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.180025,0.685,0.221621,600
deepseek__deepseek-v4-flash,nli_omission_risk,-0.357775,0.685,0.221621,600
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.035336,0.685,0.221621,600
deepseek__deepseek-v4-flash,dependency_depth,-0.031644,0.685,0.221621,600
deepseek__deepseek-v4-flash,mean_dependency_distance,0.021861,0.685,0.221621,600
deepseek__deepseek-v4-flash,normalized_dependency_distance,-0.213859,0.685,0.221621,600
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.454685,0.685,0.221621,600
deepseek__deepseek-v4-flash,extra_number_ratio,-0.538889,0.685,0.221621,600
deepseek__deepseek-v4-flash,extra_entity_count,0.059129,0.685,0.221621,600
deepseek__deepseek-v4-flash,register_score,0.235745,0.685,0.221621,600
deepseek__deepseek-v4-flash,translationese_score,-0.008782,0.685,0.221621,600
deepseek__deepseek-v4-flash,target_lm_naturalness_score,0.60515,0.685,0.221621,600
google__gemini-3-flash-preview,crosslingual_embedding_similarity,0.848314,0.701667,-0.480259,600
google__gemini-3-flash-preview,bidirectional_entailment,0.107177,0.701667,-0.480259,600
google__gemini-3-flash-preview,nli_boundary_risk,0.314929,0.701667,-0.480259,600
google__gemini-3-flash-preview,nli_omission_risk,-0.160169,0.701667,-0.480259,600
google__gemini-3-flash-preview,nli_contradiction_risk,0.097485,0.701667,-0.480259,600
google__gemini-3-flash-preview,dependency_depth,0.015141,0.701667,-0.480259,600
google__gemini-3-flash-preview,mean_dependency_distance,0.25262,0.701667,-0.480259,600
google__gemini-3-flash-preview,normalized_dependency_distance,-0.41484,0.701667,-0.480259,600
google__gemini-3-flash-preview,sentence_compression_ratio,-0.737341,0.701667,-0.480259,600
google__gemini-3-flash-preview,extra_number_ratio,0.041097,0.701667,-0.480259,600
google__gemini-3-flash-preview,extra_entity_count,0.194861,0.701667,-0.480259,600
google__gemini-3-flash-preview,register_score,0.003918,0.701667,-0.480259,600
google__gemini-3-flash-preview,translationese_score,0.003384,0.701667,-0.480259,600
google__gemini-3-flash-preview,target_lm_naturalness_score,0.287103,0.701667,-0.480259,600
moonshotai__kimi-k2.5,crosslingual_embedding_similarity,0.663912,0.628333,0.344634,600
moonshotai__kimi-k2.5,bidirectional_entailment,0.009202,0.628333,0.344634,600
moonshotai__kimi-k2.5,nli_boundary_risk,0.198194,0.628333,0.344634,600
moonshotai__kimi-k2.5,nli_omission_risk,-0.291658,0.628333,0.344634,600
moonshotai__kimi-k2.5,nli_contradiction_risk,0.118161,0.628333,0.344634,600
moonshotai__kimi-k2.5,dependency_depth,0.054304,0.628333,0.344634,600
moonshotai__kimi-k2.5,mean_dependency_distance,0.118518,0.628333,0.344634,600
moonshotai__kimi-k2.5,normalized_dependency_distance,-0.223893,0.628333,0.344634,600
moonshotai__kimi-k2.5,sentence_compression_ratio,-0.587504,0.628333,0.344634,600
moonshotai__kimi-k2.5,extra_number_ratio,0.097842,0.628333,0.344634,600
moonshotai__kimi-k2.5,extra_entity_count,0.212513,0.628333,0.344634,600
moonshotai__kimi-k2.5,register_score,0.03402,0.628333,0.344634,600
moonshotai__kimi-k2.5,translationese_score,0.022744,0.628333,0.344634,600
moonshotai__kimi-k2.5,target_lm_naturalness_score,0.193717,0.628333,0.344634,600
openai__gpt-5.2,crosslingual_embedding_similarity,0.923378,0.656667,-0.054199,600
openai__gpt-5.2,bidirectional_entailment,0.101391,0.656667,-0.054199,600
openai__gpt-5.2,nli_boundary_risk,0.128114,0.656667,-0.054199,600
openai__gpt-5.2,nli_omission_risk,-0.360453,0.656667,-0.054199,600
openai__gpt-5.2,nli_contradiction_risk,0.023719,0.656667,-0.054199,600
openai__gpt-5.2,dependency_depth,-0.044035,0.656667,-0.054199,600
openai__gpt-5.2,mean_dependency_distance,-0.031474,0.656667,-0.054199,600
openai__gpt-5.2,normalized_dependency_distance,-0.150372,0.656667,-0.054199,600
openai__gpt-5.2,sentence_compression_ratio,-0.315484,0.656667,-0.054199,600
openai__gpt-5.2,extra_number_ratio,-0.192981,0.656667,-0.054199,600
openai__gpt-5.2,extra_entity_count,-0.009284,0.656667,-0.054199,600
openai__gpt-5.2,register_score,0.136485,0.656667,-0.054199,600
openai__gpt-5.2,translationese_score,-0.054165,0.656667,-0.054199,600
openai__gpt-5.2,target_lm_naturalness_score,0.245124,0.656667,-0.054199,600
