version,model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
kimi-version,anthropic__claude-sonnet-4.6,intercept,-0.124433,0.067215,-1.851274,0.06413,-0.256175,0.007308,False,0.700833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_function_word_density,-0.778401,0.085984,-9.052881,0.0,-0.94693,-0.609873,True,0.700833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_passive_density,-0.239446,0.071977,-3.326707,0.000879,-0.38052,-0.098371,True,0.700833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_pronoun_subject_ratio,-0.008292,0.058869,-0.140848,0.88799,-0.123674,0.107091,False,0.700833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_explicit_connective_density,-0.281345,0.077914,-3.610967,0.000305,-0.434057,-0.128634,True,0.700833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_nominalization_suffix_density,-0.110691,0.07737,-1.430673,0.152524,-0.262335,0.040954,False,0.700833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_avg_sentence_length,0.136982,0.084698,1.61729,0.105816,-0.029027,0.30299,False,0.700833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.02985,0.107062,-0.278808,0.780392,-0.239691,0.179992,False,0.700833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,extra_number_ratio,-0.348759,0.093149,-3.744107,0.000181,-0.531331,-0.166187,True,0.700833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,extra_entity_count,-0.147974,0.069992,-2.114165,0.034501,-0.285157,-0.01079,True,0.700833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,register_score,0.126402,0.073171,1.727474,0.084083,-0.017014,0.269818,False,0.700833,1200,400
kimi-version,deepseek__deepseek-v4-flash,intercept,0.259178,0.066698,3.885837,0.000102,0.12845,0.389907,True,0.725,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_function_word_density,-0.905202,0.089333,-10.13293,0.0,-1.080294,-0.73011,True,0.725,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_passive_density,-0.208256,0.073959,-2.815846,0.004865,-0.353215,-0.063297,True,0.725,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_pronoun_subject_ratio,0.099062,0.067957,1.457708,0.144921,-0.034134,0.232259,False,0.725,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_explicit_connective_density,-0.363804,0.070989,-5.124763,0.0,-0.502943,-0.224665,True,0.725,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_nominalization_suffix_density,-0.093257,0.072987,-1.277719,0.201349,-0.236313,0.049798,False,0.725,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_avg_sentence_length,0.159495,0.090041,1.771349,0.076503,-0.016986,0.335976,False,0.725,1200,400
kimi-version,deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.190017,0.129441,-1.467982,0.142109,-0.443721,0.063687,False,0.725,1200,400
kimi-version,deepseek__deepseek-v4-flash,extra_number_ratio,-0.332671,0.088212,-3.771271,0.000162,-0.505567,-0.159776,True,0.725,1200,400
kimi-version,deepseek__deepseek-v4-flash,extra_entity_count,-0.072845,0.067533,-1.078652,0.280743,-0.205209,0.05952,False,0.725,1200,400
kimi-version,deepseek__deepseek-v4-flash,register_score,0.053675,0.088195,0.608593,0.542794,-0.119188,0.226538,False,0.725,1200,400
kimi-version,google__gemini-3-flash-preview,intercept,-0.069234,0.070876,-0.976832,0.328652,-0.20815,0.069683,False,0.710833,1200,400
kimi-version,google__gemini-3-flash-preview,target_function_word_density,-0.853569,0.083733,-10.193883,0.0,-1.017686,-0.689451,True,0.710833,1200,400
kimi-version,google__gemini-3-flash-preview,target_passive_density,-0.199658,0.067687,-2.94974,0.00318,-0.332324,-0.066992,True,0.710833,1200,400
kimi-version,google__gemini-3-flash-preview,target_pronoun_subject_ratio,-0.025553,0.059064,-0.432633,0.665281,-0.141318,0.090212,False,0.710833,1200,400
kimi-version,google__gemini-3-flash-preview,target_explicit_connective_density,-0.389084,0.074382,-5.230876,0.0,-0.534873,-0.243295,True,0.710833,1200,400
kimi-version,google__gemini-3-flash-preview,target_nominalization_suffix_density,-0.142209,0.077368,-1.838075,0.066051,-0.293851,0.009433,False,0.710833,1200,400
kimi-version,google__gemini-3-flash-preview,target_avg_sentence_length,0.145275,0.090311,1.608608,0.107702,-0.031735,0.322285,False,0.710833,1200,400
kimi-version,google__gemini-3-flash-preview,sentence_compression_ratio,-0.188405,0.131252,-1.435451,0.151158,-0.445658,0.068848,False,0.710833,1200,400
kimi-version,google__gemini-3-flash-preview,extra_number_ratio,-0.340866,0.099552,-3.423998,0.000617,-0.535987,-0.145744,True,0.710833,1200,400
kimi-version,google__gemini-3-flash-preview,extra_entity_count,-0.066656,0.072929,-0.913978,0.360729,-0.209598,0.076286,False,0.710833,1200,400
kimi-version,google__gemini-3-flash-preview,register_score,0.090911,0.08715,1.04315,0.296879,-0.079903,0.261724,False,0.710833,1200,400
kimi-version,openai__gpt-5.2,intercept,0.302116,0.066528,4.541203,6e-06,0.171721,0.43251,True,0.68,1200,400
kimi-version,openai__gpt-5.2,target_function_word_density,-0.70251,0.083449,-8.418434,0.0,-0.866071,-0.53895,True,0.68,1200,400
kimi-version,openai__gpt-5.2,target_passive_density,-0.222673,0.081802,-2.722111,0.006487,-0.383004,-0.062342,True,0.68,1200,400
kimi-version,openai__gpt-5.2,target_pronoun_subject_ratio,0.02753,0.067987,0.404928,0.68553,-0.105725,0.160785,False,0.68,1200,400
