id,language,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length
en_native_00001,en,6.0,5.0,3.9375,30.0,0.123047,0.668182,0.545455,9.0,0.0,4.0,33.0,1.0,33.0
en_native_00002,en,4.0,7.0,4.142857,30.0,0.118367,0.547368,0.444444,0.0,0.0,4.428571,36.0,1.0,36.0
en_native_00003,en,9.0,7.0,5.280702,47.0,0.092644,0.55,0.293103,12.0,0.0,6.571429,58.0,1.0,58.0
en_native_00004,en,1.0,3.0,2.25,8.0,0.1875,0.671429,0.384615,0.0,0.0,1.428571,13.0,1.0,13.0
en_native_00005,en,3.0,4.0,2.230769,8.0,0.171598,0.5875,0.357143,3.0,0.0,1.857143,14.0,1.0,14.0
en_native_00006,en,1.0,4.0,3.833333,14.0,0.212963,0.454545,0.578947,0.0,0.0,2.142857,19.0,1.0,19.0
en_native_00007,en,3.0,5.0,3.761905,17.0,0.179138,0.592308,0.318182,3.0,0.0,2.571429,22.0,1.0,22.0
en_native_00008,en,7.0,4.0,4.297297,32.0,0.116143,0.621429,0.5,9.0,0.0,4.857143,38.0,1.0,38.0
en_native_00009,en,5.0,6.0,3.75,22.0,0.104167,0.3675,0.432432,3.0,1.0,3.571429,37.0,1.0,37.0
en_native_00010,en,6.0,5.0,3.6,34.0,0.102857,0.4375,0.388889,6.0,0.0,3.857143,36.0,1.0,36.0
en_native_00011,en,2.0,5.0,3.470588,17.0,0.204152,0.609091,0.666667,0.0,0.0,2.428571,18.0,1.0,18.0
en_native_00012,en,5.0,8.0,4.694444,30.0,0.130401,0.467391,0.567568,4.0,0.0,4.571429,37.0,1.0,37.0
en_native_00013,en,1.0,5.0,3.92,16.0,0.1568,0.727273,0.384615,0.0,1.0,2.142857,26.0,1.0,26.0
en_native_00014,en,6.0,7.0,3.787879,26.0,0.114784,0.461905,0.5,0.0,5.0,4.285714,34.0,1.0,34.0
en_native_00015,en,1.0,4.0,3.526316,16.0,0.185596,0.8,0.6,0.0,0.0,2.428571,20.0,1.0,20.0
en_native_00016,en,10.0,8.0,3.779661,54.0,0.064062,0.677778,0.5,7.0,5.0,7.428571,60.0,1.0,60.0
en_native_00017,en,5.0,7.0,3.88,23.0,0.1552,0.853846,0.307692,4.0,4.0,2.857143,26.0,1.0,26.0
en_native_00018,en,2.0,5.0,3.48,21.0,0.1392,0.642308,0.615385,0.0,4.0,3.142857,26.0,1.0,26.0
en_native_00019,en,4.0,8.0,3.677419,30.0,0.118626,0.684211,0.5,3.0,1.0,3.714286,32.0,1.0,32.0
en_native_00020,en,4.0,7.0,2.8,13.0,0.186667,0.7,0.3125,3.0,0.0,2.142857,16.0,1.0,16.0
en_native_00021,en,2.0,4.0,3.210526,16.0,0.168975,0.454545,0.45,0.0,0.0,2.142857,20.0,1.0,20.0
en_native_00022,en,5.0,6.0,3.222222,14.0,0.119342,0.5,0.392857,0.0,4.0,3.285714,28.0,1.0,28.0
en_native_00023,en,5.0,7.0,4.212121,27.0,0.12764,0.668182,0.514286,3.0,0.0,4.285714,35.0,2.0,17.5
en_native_00024,en,4.0,9.0,4.229167,39.0,0.088108,0.716071,0.55102,6.0,3.0,6.428571,49.0,1.0,49.0
en_native_00025,en,4.0,4.0,4.6,18.0,0.23,0.615385,0.238095,0.0,0.0,2.571429,21.0,1.0,21.0
en_native_00026,en,2.0,5.0,3.5,27.0,0.125,0.7125,0.586207,0.0,0.0,3.857143,29.0,1.0,29.0
en_native_00027,en,2.0,3.0,2.555556,10.0,0.141975,0.633333,0.526316,0.0,3.0,2.142857,19.0,1.0,19.0
en_native_00028,en,5.0,6.0,3.558824,30.0,0.104671,0.611111,0.342857,8.0,3.0,3.428571,35.0,1.0,35.0
en_native_00029,en,4.0,8.0,3.545455,29.0,0.107438,0.509524,0.529412,0.0,1.0,4.0,34.0,1.0,34.0
en_native_00030,en,4.0,6.0,4.068966,21.0,0.140309,0.575,0.433333,3.0,2.0,3.0,30.0,1.0,30.0
en_native_00031,en,2.0,4.0,4.238095,12.0,0.201814,0.668182,0.5,3.0,1.0,2.428571,22.0,1.0,22.0
en_native_00032,en,1.0,5.0,5.212766,25.0,0.11091,0.454545,0.5625,0.0,3.0,5.857143,48.0,1.0,48.0
en_native_00033,en,10.0,6.0,3.916667,43.0,0.081597,0.834615,0.306122,12.0,0.0,4.142857,49.0,1.0,49.0
en_native_00034,en,4.0,4.0,2.885714,23.0,0.082449,0.82619,0.27027,5.0,0.0,3.714286,37.0,2.0,18.5
en_native_00035,en,3.0,5.0,4.0,19.0,0.133333,0.759375,0.451613,6.0,1.0,3.571429,31.0,1.0,31.0
en_native_00036,en,3.0,7.0,3.826087,36.0,0.083176,0.813043,0.553191,6.0,0.0,5.714286,47.0,1.0,47.0
en_native_00037,en,6.0,8.0,3.666667,43.0,0.067901,0.568519,0.472727,7.0,0.0,6.285714,55.0,1.0,55.0
en_native_00038,en,2.0,8.0,3.041667,24.0,0.126736,0.635,0.64,0.0,0.0,3.571429,25.0,1.0,25.0
en_native_00039,en,3.0,4.0,4.5,15.0,0.225,0.625,0.333333,3.0,3.0,2.714286,21.0,1.0,21.0
en_native_00040,en,4.0,5.0,2.818182,15.0,0.128099,0.669231,0.304348,4.0,0.0,2.571429,23.0,1.0,23.0
en_native_00041,en,1.0,6.0,2.52,15.0,0.1008,0.746154,0.576923,0.0,0.0,2.857143,26.0,1.0,26.0
en_native_00042,en,3.0,5.0,3.35,19.0,0.1675,0.230769,0.428571,3.0,0.0,2.0,21.0,1.0,21.0
en_native_00043,en,5.0,9.0,3.5,36.0,0.097222,0.685417,0.486486,4.0,0.0,4.571429,37.0,1.0,37.0
en_native_00044,en,3.0,5.0,4.210526,31.0,0.110803,0.67,0.589744,3.0,0.0,4.428571,39.0,1.0,39.0
en_native_00045,en,5.0,6.0,3.551724,18.0,0.061237,0.556061,0.633333,5.0,1.0,7.571429,60.0,2.0,30.0
en_native_00046,en,6.0,5.0,4.954545,39.0,0.112603,0.684,0.488889,4.0,1.0,5.428571,45.0,1.0,45.0
en_native_00047,en,3.0,5.0,4.685714,33.0,0.133878,0.652381,0.555556,3.0,1.0,4.571429,36.0,1.0,36.0
en_native_00048,en,8.0,8.0,4.047619,41.0,0.096372,0.516667,0.395349,3.0,1.0,5.285714,43.0,1.0,43.0
en_native_00049,en,1.0,4.0,2.9375,13.0,0.091797,0.831579,0.69697,0.0,1.0,3.714286,33.0,1.0,33.0
en_native_00050,en,2.0,7.0,3.130435,19.0,0.136106,0.671429,0.625,0.0,1.0,3.0,24.0,1.0,24.0
en_native_00051,en,1.0,6.0,3.631579,18.0,0.191136,0.670833,0.65,0.0,2.0,2.285714,20.0,1.0,20.0
en_native_00052,en,3.0,5.0,3.409091,21.0,0.154959,0.672222,0.565217,3.0,0.0,3.142857,23.0,1.0,23.0
en_native_00053,en,3.0,5.0,4.030303,33.0,0.12213,0.655,0.558824,3.0,0.0,4.0,34.0,1.0,34.0
en_native_00054,en,3.0,4.0,3.133333,9.0,0.208889,0.4625,0.4375,3.0,0.0,2.142857,16.0,1.0,16.0
en_native_00055,en,3.0,5.0,3.935484,22.0,0.126951,0.532353,0.53125,0.0,0.0,3.571429,32.0,1.0,32.0
en_native_00056,en,4.0,5.0,4.078947,37.0,0.107341,0.544737,0.461538,3.0,0.0,4.285714,39.0,1.0,39.0
en_native_00057,en,2.0,4.0,4.0,16.0,0.173913,0.616667,0.583333,0.0,0.0,3.142857,24.0,1.0,24.0
en_native_00058,en,5.0,6.0,3.333333,30.0,0.092593,0.689474,0.486486,3.0,2.0,4.714286,37.0,1.0,37.0
en_native_00059,en,2.0,5.0,2.583333,9.0,0.215278,0.333333,0.307692,0.0,1.0,1.285714,13.0,1.0,13.0
en_native_00060,en,9.0,6.0,5.055556,36.0,0.140432,0.817391,0.297297,13.0,1.0,3.714286,37.0,1.0,37.0
en_native_00061,en,2.0,4.0,3.25,13.0,0.1625,0.705556,0.619048,3.0,4.0,2.857143,21.0,1.0,21.0
en_native_00062,en,3.0,4.0,3.28125,16.0,0.102539,0.615789,0.636364,3.0,0.0,3.714286,33.0,1.0,33.0
en_native_00063,en,4.0,4.0,2.461538,10.0,0.189349,0.7125,0.214286,6.0,3.0,1.857143,14.0,1.0,14.0
en_native_00064,en,3.0,4.0,2.913043,15.0,0.126654,0.5875,0.541667,0.0,3.0,3.142857,24.0,1.0,24.0
en_native_00065,en,3.0,4.0,2.875,6.0,0.179688,0.633333,0.352941,3.0,0.0,2.142857,17.0,1.0,17.0
en_native_00066,en,5.0,5.0,4.673913,24.0,0.101607,0.603846,0.425532,6.0,0.0,6.142857,47.0,1.0,47.0
en_native_00067,en,4.0,7.0,3.0,18.0,0.15,0.609091,0.52381,3.0,1.0,2.857143,21.0,1.0,21.0
en_native_00068,en,3.0,5.0,2.75,14.0,0.1375,0.875,0.714286,3.0,1.0,2.857143,21.0,1.0,21.0
en_native_00069,en,3.0,6.0,4.037037,23.0,0.14952,0.583333,0.5,2.0,0.0,3.142857,28.0,1.0,28.0
en_native_00070,en,5.0,7.0,3.586207,28.0,0.123662,0.58,0.6,0.0,0.0,4.142857,30.0,1.0,30.0
en_native_00071,en,1.0,3.0,2.894737,9.0,0.152355,0.6,0.7,0.0,3.0,2.571429,20.0,1.0,20.0
en_native_00072,en,3.0,5.0,4.148148,14.0,0.153635,0.75625,0.535714,6.0,1.0,3.571429,28.0,1.0,28.0
en_native_00073,en,3.0,6.0,3.833333,24.0,0.159722,0.826923,0.56,3.0,1.0,3.571429,25.0,1.0,25.0
en_native_00074,en,4.0,5.0,3.888889,34.0,0.108025,0.5875,0.540541,3.0,1.0,4.285714,37.0,1.0,37.0
en_native_00075,en,6.0,9.0,4.0,51.0,0.063492,0.687838,0.5,9.0,1.0,7.428571,64.0,1.0,64.0
en_native_00076,en,9.0,10.0,4.211268,65.0,0.059314,0.488571,0.472222,9.0,3.0,7.714286,72.0,1.0,72.0
en_native_00077,en,6.0,5.0,4.55814,43.0,0.106003,0.7125,0.431818,3.0,0.0,5.285714,44.0,1.0,44.0
en_native_00078,en,4.0,6.0,2.470588,12.0,0.145329,0.427273,0.388889,3.0,0.0,2.142857,18.0,1.0,18.0
en_native_00079,en,4.0,4.0,3.454545,15.0,0.157025,0.615385,0.521739,4.0,0.0,2.571429,23.0,1.0,23.0
en_native_00080,en,2.0,4.0,3.375,11.0,0.140625,0.692308,0.52,0.0,0.0,3.0,25.0,1.0,25.0
en_native_00081,en,6.0,8.0,3.77551,47.0,0.077051,0.666667,0.52,6.0,0.0,6.285714,50.0,1.0,50.0
en_native_00082,en,3.0,3.0,3.428571,10.0,0.244898,0.4,0.266667,0.0,0.0,1.428571,15.0,1.0,15.0
en_native_00083,en,4.0,4.0,2.761905,13.0,0.131519,0.67,0.391304,0.0,3.0,3.142857,23.0,2.0,11.5
en_native_00084,en,6.0,8.0,3.448276,47.0,0.059453,0.667188,0.491525,3.0,0.0,6.571429,59.0,1.0,59.0
en_native_00085,en,6.0,7.0,3.525424,48.0,0.059753,0.791667,0.55,10.0,1.0,6.428571,60.0,1.0,60.0
en_native_00086,en,4.0,8.0,4.052632,23.0,0.106648,0.5,0.564103,3.0,1.0,4.714286,39.0,1.0,39.0
en_native_00087,en,4.0,7.0,3.363636,22.0,0.152893,0.4,0.304348,3.0,0.0,2.285714,23.0,1.0,23.0
en_native_00088,en,2.0,4.0,2.666667,11.0,0.177778,0.555556,0.5625,0.0,0.0,2.285714,16.0,1.0,16.0
en_native_00089,en,2.0,4.0,3.25,10.0,0.203125,0.7,0.647059,0.0,0.0,2.0,17.0,1.0,17.0
en_native_00090,en,3.0,9.0,3.34375,32.0,0.104492,0.594444,0.363636,0.0,5.0,3.857143,33.0,1.0,33.0
en_native_00091,en,1.0,3.0,2.894737,12.0,0.152355,0.846154,0.55,2.0,0.0,2.285714,20.0,1.0,20.0
en_native_00092,en,1.0,4.0,2.583333,10.0,0.215278,0.621429,0.615385,0.0,0.0,1.428571,13.0,1.0,13.0
en_native_00093,en,1.0,4.0,2.666667,8.0,0.296296,0.558333,0.5,0.0,0.0,1.0,10.0,1.0,10.0
en_native_00094,en,2.0,6.0,2.947368,12.0,0.155125,1.010714,0.55,3.0,0.0,2.571429,20.0,1.0,20.0
en_native_00095,en,10.0,8.0,4.671875,37.0,0.072998,0.689063,0.4,17.0,1.0,5.857143,65.0,1.0,65.0
en_native_00096,en,1.0,3.0,3.0,14.0,0.176471,0.735,0.666667,0.0,0.0,2.0,18.0,1.0,18.0
en_native_00097,en,6.0,9.0,4.4,45.0,0.088,0.605,0.607843,5.0,2.0,5.571429,51.0,1.0,51.0
en_native_00098,en,4.0,8.0,3.552632,35.0,0.09349,0.769048,0.615385,3.0,2.0,4.285714,39.0,1.0,39.0
en_native_00099,en,1.0,4.0,2.684211,9.0,0.141274,0.7,0.65,0.0,0.0,2.142857,20.0,1.0,20.0
en_native_00100,en,3.0,4.0,3.310345,15.0,0.11415,0.81875,0.566667,3.0,1.0,3.428571,30.0,1.0,30.0
en_native_00101,en,1.0,3.0,3.0625,14.0,0.191406,0.735,0.705882,0.0,0.0,2.0,17.0,1.0,17.0
en_native_00102,en,5.0,6.0,3.777778,22.0,0.139918,0.734375,0.5,6.0,2.0,3.571429,28.0,1.0,28.0
en_native_00103,en,4.0,9.0,3.487179,37.0,0.089415,0.640909,0.5,3.0,0.0,5.0,40.0,1.0,40.0
en_native_00104,en,4.0,6.0,3.333333,25.0,0.123457,0.352941,0.392857,0.0,0.0,3.142857,28.0,1.0,28.0
en_native_00105,en,6.0,7.0,3.292683,27.0,0.080309,0.642308,0.47619,0.0,1.0,5.285714,42.0,1.0,42.0
en_native_00106,en,6.0,8.0,3.214286,26.0,0.114796,0.421053,0.275862,0.0,0.0,3.571429,29.0,1.0,29.0
en_native_00107,en,4.0,7.0,3.903226,19.0,0.125911,0.717857,0.4375,0.0,0.0,3.571429,32.0,1.0,32.0
en_native_00108,en,2.0,3.0,3.071429,11.0,0.219388,0.4,0.466667,3.0,0.0,2.0,15.0,1.0,15.0
en_native_00109,en,1.0,5.0,2.6,14.0,0.173333,0.483333,0.5625,0.0,0.0,1.571429,16.0,1.0,16.0
en_native_00110,en,1.0,4.0,2.7,9.0,0.135,0.609091,0.666667,0.0,0.0,2.142857,21.0,1.0,21.0
en_native_00111,en,1.0,3.0,2.826087,14.0,0.122873,0.823333,0.666667,0.0,0.0,2.857143,24.0,1.0,24.0
