model_1,model_2,same_pairwise_judgments,different_pairwise_judgments,total_pairwise_judgments,agreement
anthropic__claude-sonnet-4.6,deepseek__deepseek-v4-flash,481,119,600,0.801667
anthropic__claude-sonnet-4.6,google__gemini-3-flash-preview,527,73,600,0.878333
anthropic__claude-sonnet-4.6,moonshotai__kimi-k2.5,514,86,600,0.856667
anthropic__claude-sonnet-4.6,openai__gpt-5.2,490,110,600,0.816667
deepseek__deepseek-v4-flash,google__gemini-3-flash-preview,482,118,600,0.803333
deepseek__deepseek-v4-flash,moonshotai__kimi-k2.5,497,103,600,0.828333
deepseek__deepseek-v4-flash,openai__gpt-5.2,481,119,600,0.801667
google__gemini-3-flash-preview,moonshotai__kimi-k2.5,521,79,600,0.868333
google__gemini-3-flash-preview,openai__gpt-5.2,503,97,600,0.838333
moonshotai__kimi-k2.5,openai__gpt-5.2,512,88,600,0.853333
